URL,Name,Price,Reviews,Price_Segment,Est_Revenue
https://www.banggood.com/INCERUN-Men-Jubba-Thobe-Solid-Color-Long-Sleeve-Fashion-Thin-Robes-Kaftan-Stand-Collar-Islamic-Arabic-Men-Caftan-S-5XL-p-1911020.html?rmmds=MenNew&cur_warehouse=CN&ID=62876246287830,INCERUN Men Jubba Thobe Solid Color Long Sleeve Fashion Thin Robes Kaftan Stand Collar Islamic Arabic Men Caftan S-5XL - Black 2XL,20.89,0.0,Low Budget,0.0
https://www.banggood.com/ChArmkpR-Mens-Ethnic-Smile-Print-Color-Block-Patchwork-Kangaroo-Pocket-Hoodies-p-1995617.html?rmmds=MenNew&cur_warehouse=CN&ID=62876386287845,ChArmkpR Mens Ethnic Smile Print Color Block Patchwork Kangaroo Pocket Hoodies - White M,27.09,3.0,Low Budget,81.27
https://www.banggood.com/INCERUN-Mens-Shirts-Solid-Color-Long-Sleeve-Top-Shirts-Summer-Fashion-Stacked-Neck-Top-Shirts-Party-Male-Clothing-p-1996220.html?rmmds=MenNew&cur_warehouse=CN&ID=62876366288310,INCERUN Mens Shirts Solid Color Long Sleeve Top Shirts Summer Fashion Stacked Neck Top Shirts Party Male Clothing - Apricot S,16.25,0.0,Low Budget,0.0
https://www.banggood.com/ChArmkpR-Mens-Smile-Face-Print-Contrast-Patchwork-Pullover-Sweatshirts-p-1996398.html?rmmds=MenNew&cur_warehouse=CN&ID=62876366288162,ChArmkpR Mens Smile Face Print Contrast Patchwork Pullover Sweatshirts - Dark Blue S,16.25,1.0,Low Budget,16.25
https://www.banggood.com/ChArmkpR-Mens-Ink-Bamboo-Print-Patchwork-Button-Up-Short-Sleeve-Shirts-p-1980631.html?rmmds=MenNew&cur_warehouse=CN&ID=62876366287845,ChArmkpR Mens Ink Bamboo Print Patchwork Button Up Short Sleeve Shirts - White S,20.89,3.0,Low Budget,62.67
https://www.banggood.com/INCERUN-Men-Solid-Color-Short-Sleeve-T-Shirt-Round-Neck-Loose-Fit-Mens-Tee-Summer-Casual-Daily-Mens-Top-p-1983888.html?rmmds=MenNew&cur_warehouse=CN&ID=62876366287830,INCERUN Men Solid Color Short Sleeve T-Shirt Round Neck Loose Fit Men's Tee Summer Casual Daily Mens Top - Black S,17.8,0.0,Low Budget,0.0
https://www.banggood.com/INCERUN-Men-Tank-Tops-Mesh-Transparent-O-neck-Sleeveless-Vests-Streetwear-Summer-Breathable-Fashion-Men-Clothing-S-5XL-p-1985705.html?rmmds=MenNew&cur_warehouse=CN&ID=62876206287830,INCERUN Men Tank Tops Mesh Transparent O-neck Sleeveless Vests Streetwear Summer Breathable Fashion Men Clothing S-5XL - Black L,13.15,0.0,Low Budget,0.0
https://www.banggood.com/INCERUN-Men-Breathable-Stand-up-Collar-Silky-Solid-Color-Shirts-p-1815779.html?rmmds=MenNew&cur_warehouse=CN&ID=62876386288310,INCERUN Men Breathable Stand-up Collar Silky Solid Color Shirts - Apricot M,10.82,0.0,Low Budget,0.0
https://www.banggood.com/Men-Solid-Front-Zipper-Round-Neck-Short-Sleeve-Casual-Robe-Shirts-p-1798470.html?rmmds=MenNew&cur_warehouse=CN&ID=62876366287845,Men Solid Front Zipper Round Neck Short Sleeve Casual Robe Shirts - White S,18.57,0.0,Low Budget,0.0
https://www.banggood.com/INCERUN-Mens-Gradient-Print-Front-Buttons-Long-Sleeve-Casual-Shirts-p-1639578.html?rmmds=MenNew&cur_warehouse=CN&ID=62876216287844,INCERUN Mens Gradient Print Front Buttons Long-Sleeve Casual Shirts - Orange XL,23.22,4.0,Low Budget,92.88
https://www.banggood.com/INCERUN-Men-Tanks-Top-Blue-White-Knitted-Undershirt-with-Horizontal-Stripes-Buckle-Back-High-Stretch-Vest-for-Men-p-1989950.html?rmmds=MenNew&cur_warehouse=CN&ID=62876246287845,INCERUN Men Tanks Top Blue White Knitted Undershirt with Horizontal Stripes Buckle Back High Stretch Vest for Men - White 2XL,13.93,1.0,Low Budget,13.93
https://www.banggood.com/Mens-Solid-Crew-Neck-Short-Sleeve-T-Shirt-p-1990234.html?rmmds=MenNew&cur_warehouse=CN&ID=62876386287835,Mens Solid Crew Neck Short Sleeve T-Shirt - Brown M,16.25,0.0,Low Budget,0.0
https://www.banggood.com/INCERUN-Mens-Zipper-Big-Pocket-Pleated-Design-Pant-Wide-Legged-Trousers-Casual-Solid-Color-Elastic-Waist-Pant-S-5XL-p-2022261.html?rmmds=MenNew&cur_warehouse=CN&ID=62876206287830,INCERUN Mens Zipper Big Pocket Pleated Design Pant Wide Legged Trousers Casual Solid Color Elastic Waist Pant S-5XL - Black L,23.99,0.0,Low Budget,0.0
https://www.banggood.com/INCERUN-Stylish-Mens-Color-block-Striped-Long-sleeve-Shirt-Fashion-Design-Lapel-Top-Large-Size-Loose-Fit-Men-S-5XL-p-2022323.html?rmmds=MenNew&cur_warehouse=CN&ID=62876226287830,INCERUN Stylish Men's Color-block Striped Long-sleeve Shirt Fashion Design Lapel Top Large Size Loose Fit Men S-5XL - Black 3XL,20.12,0.0,Low Budget,0.0
